Parameter,Practice,Default,Description
tillfac_ft,Full-Till,3.036,Tillage disturbance modifier for decay rates under full tillage
tillfac_rt,Reduced-Till,2.075,Tillage disturbance modifier for decay rates under reduced tillage
tillfac_nt,No-till,1,Tillage disturbance modifier for decay rates under no tillage
wfacpar1,All,0.2129,Intercept term to estimate wfac (effect of water on decomposition)
wfacpar2,All,1.331,slope for mappet term to estimate wfac (effect of water on decomposition)
wfacpar3,All,0.2413,slope for mappet^2 term to estimate wfac (effect of water on decomposition)
kfaca,All,7.4,decay rate under optimum condition for active pool (k3)
k3par1,All,0.25,intercept term for sand effect for active pool
k3par2,All,0.75,slope term for sand effect for active pool
kfacs,All,0.209,decay rate under optimum condition for slow (k4)
kfacp,All,0.00689,decay rate under optimum condition for passive (k5)
f1,All,0.378,stabilization efficiencies for metabolic decay products entering the active pool
f2,All,0.368,stabilization efficiencies for structural decay products entering the active pool if tillage is not known
f2_ft,Full-Till,0.455,stabilization efficiencies for structural decay products entering the active pool under full tillage
f2_rt,Reduced-Till,0.477,stabilization efficiencies for structural decay products entering the active pool under reduced tillage
f2_nt,No-till,0.5,stabilization efficiencies for structural decay products entering the active pool under no tillage
f3,All,0.455,stabilization efficiencies for structural decay products entering the slow pool
f4par1,All,0.17,intersept term for sand effect on stabilization efficiencies for active pool decay products entering the slow pool 
f4par2,All,0.68,slope term for sand effect on stabilization efficiencies for active pool decay products entering the slow pool
f4,All,0.5745,stabilization efficiencies for active pool decay products entering the slow pool
f5,All,0.0855,stabilization efficiencies for active pool decay products entering the passive pool
f6,All,0.0504,stabilization efficiencies for slow pool decay products entering the passive pool
f7,All,0.42,stabilization efficiencies for slow pool decay products entering the active pool
f8,All,0.45,stabilization efficiencies for passive pool decay products entering the active pool
ta,All,0.2,parameter to estimate temperature modifier on decomposition (tfac)
tb,All,2.63,parameter to estimate temperature modifier on decomposition (tfac)
tmax,All,45,parameter to estimate temperature modifier on decomposition (tfac)
topt,All,33.69,parameter to estimate temperature modifier on decomposition (tfac)
plig,All,3,empirical parameter to modify k20
sp1,All,0.85,empirical parameter to estimate metabolic fraction of residue input (intercept)
sp2,All,0.018,empirical parameter to estimate metabolic fraction of residue input (slope)
sand,All,0.25,"sand content of soil layer being modelled, proportion"
LC,All,0.111,"lignin conetnt of carbon inputs, proportion"
NC,All,0.021,"gravimetirc nitrogen to carbon ratio of carbon inputs, ratio"